Date/Time,23_04_19,12:13,
Operator,Felix Weihs,,
Consignment Number,,,
Sample Type,Other,,
Protocol,Sample,,
Temperature,28.0,,
Results,,,
Time,Green,Blue,Ratio
 0.50,60.00,78.00, 0.77
 1.00,285.00,369.00, 0.77
 1.50,318.00,357.00, 0.89
 2.00,302.00,379.00, 0.80
 2.50,303.00,337.00, 0.90
 3.00,304.00,330.00, 0.92
 3.50,300.00,367.00, 0.82
 4.00,292.00,401.00, 0.73
 4.50,304.00,399.00, 0.76
 5.00,322.00,362.00, 0.89
 5.50,283.00,362.00, 0.78
 6.00,309.00,369.00, 0.84
 6.50,330.00,374.00, 0.88
 7.00,285.00,378.00, 0.75
 7.50,294.00,384.00, 0.77
 8.00,295.00,339.00, 0.87
 8.50,330.00,379.00, 0.87
 9.00,339.00,416.00, 0.81
 9.50,325.00,387.00, 0.84
10.00,290.00,394.00, 0.74
10.50,323.00,340.00, 0.95
11.00,314.00,378.00, 0.83
11.50,339.00,383.00, 0.89
12.00,299.00,352.00, 0.85
12.50,315.00,393.00, 0.80
13.00,332.00,361.00, 0.92
13.50,278.00,374.00, 0.74
14.00,302.00,353.00, 0.86
14.50,314.00,360.00, 0.87
15.00,299.00,365.00, 0.82
15.50,280.00,390.00, 0.72
16.00,313.00,355.00, 0.88
16.50,306.00,341.00, 0.90
17.00,298.00,376.00, 0.79
17.50,262.00,366.00, 0.72
18.00,337.00,353.00, 0.95
18.50,309.00,374.00, 0.83
19.00,314.00,350.00, 0.90
19.50,325.00,399.00, 0.81
20.00,312.00,384.00, 0.81
20.50,302.00,382.00, 0.79
21.00,276.00,396.00, 0.70
21.50,289.00,417.00, 0.69
22.00,331.00,369.00, 0.90
22.50,314.00,373.00, 0.84
23.00,312.00,370.00, 0.84
23.50,337.00,397.00, 0.85
24.00,305.00,361.00, 0.84
24.50,311.00,401.00, 0.78
25.00,325.00,374.00, 0.87
25.50,317.00,363.00, 0.87
26.00,317.00,364.00, 0.87
26.50,321.00,413.00, 0.78
27.00,288.00,365.00, 0.79
27.50,324.00,433.00, 0.75
28.00,288.00,422.00, 0.68
28.50,299.00,377.00, 0.79
29.00,291.00,384.00, 0.76
29.50,333.00,391.00, 0.85
30.00,318.00,404.00, 0.79
30.50,297.00,389.00, 0.76
31.00,283.00,386.00, 0.73
31.50,326.00,403.00, 0.81
32.00,315.00,387.00, 0.81
32.50,298.00,422.00, 0.71
33.00,324.00,391.00, 0.83
33.50,294.00,410.00, 0.72
34.00,299.00,369.00, 0.81
34.50,303.00,389.00, 0.78
35.00,346.00,385.00, 0.90
35.50,316.00,372.00, 0.85
36.00,328.00,403.00, 0.81
36.50,298.00,393.00, 0.76
37.00,346.00,402.00, 0.86
37.50,328.00,363.00, 0.90
38.00,323.00,411.00, 0.79
38.50,345.00,358.00, 0.96
39.00,316.00,391.00, 0.81
39.50,367.00,420.00, 0.87
40.00,348.00,403.00, 0.86
40.50,331.00,392.00, 0.84
41.00,324.00,421.00, 0.77
41.50,298.00,405.00, 0.74
42.00,327.00,383.00, 0.85
42.50,349.00,408.00, 0.86
43.00,354.00,391.00, 0.91
43.50,311.00,448.00, 0.69
44.00,339.00,392.00, 0.86
44.50,364.00,381.00, 0.96
45.00,370.00,365.00, 1.01
45.50,347.00,427.00, 0.81
46.00,329.00,391.00, 0.84
46.50,336.00,404.00, 0.83
47.00,343.00,392.00, 0.87
47.50,341.00,370.00, 0.92
48.00,379.00,400.00, 0.95
48.50,371.00,431.00, 0.86
49.00,367.00,394.00, 0.93
49.50,311.00,378.00, 0.82
50.00,304.00,416.00, 0.73
50.50,380.00,398.00, 0.95
51.00,356.00,423.00, 0.84
51.50,330.00,428.00, 0.77
52.00,345.00,437.00, 0.79
52.50,357.00,407.00, 0.88
53.00,354.00,392.00, 0.90
53.50,330.00,388.00, 0.85
54.00,310.00,420.00, 0.74
54.50,349.00,446.00, 0.78
55.00,335.00,426.00, 0.79
55.50,311.00,436.00, 0.71
56.00,379.00,429.00, 0.88
56.50,341.00,440.00, 0.78
57.00,355.00,416.00, 0.85
57.50,377.00,440.00, 0.86
58.00,326.00,402.00, 0.81
58.50,344.00,419.00, 0.82
59.00,363.00,414.00, 0.88
59.50,343.00,398.00, 0.86
60.00,357.00,452.00, 0.79
60.50,351.00,429.00, 0.82
61.00,361.00,433.00, 0.83
61.50,331.00,418.00, 0.79
62.00,361.00,438.00, 0.82
62.50,372.00,434.00, 0.86
63.00,359.00,435.00, 0.83
63.50,357.00,434.00, 0.82
64.00,381.00,467.00, 0.82
64.50,380.00,427.00, 0.89
65.00,347.00,425.00, 0.82
65.50,342.00,449.00, 0.76
66.00,347.00,492.00, 0.71
66.50,355.00,471.00, 0.75
67.00,390.00,481.00, 0.81
67.50,356.00,445.00, 0.80
68.00,368.00,485.00, 0.76
68.50,350.00,416.00, 0.84
69.00,367.00,408.00, 0.90
69.50,366.00,451.00, 0.81
70.00,349.00,426.00, 0.82
70.50,367.00,463.00, 0.79
71.00,389.00,454.00, 0.86
71.50,397.00,429.00, 0.93
72.00,356.00,470.00, 0.76
72.50,436.00,449.00, 0.97
73.00,423.00,426.00, 0.99
73.50,373.00,506.00, 0.74
